Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT
2021-01-19,471.25,465.0,468.25,467.0,2121,-1
2021-01-20,465.25,458.5,465.25,461.25,1174,-1
2021-01-21,466.5,460.0,461.25,461.0,942,-1
2021-01-22,459.5,443.0,459.5,444.0,2006,-1
2021-01-25,450.25,438.0,441.25,446.5,875,-1
2021-01-26,456.75,445.5,446.0,455.0,869,-1
2021-01-27,460.5,449.0,455.0,451.75,1005,-1
2021-01-28,456.75,447.5,455.0,448.75,783,-1
2021-01-29,455.25,446.5,447.75,453.5,1070,-1
2021-02-01,458.0,451.5,453.5,457.5,856,-1
2021-02-02,459.0,454.25,457.75,458.0,988,-1
2021-02-03,462.0,454.25,458.25,461.75,728,-1
2021-02-04,464.5,459.75,461.25,462.75,665,-1
2021-02-05,465.0,461.75,462.25,463.5,1662,-1
2021-02-08,470.5,463.0,464.25,469.0,1282,-1
2021-02-09,471.5,462.0,468.25,467.75,851,-1
2021-02-10,466.25,456.0,465.5,459.75,1490,-1
2021-02-11,463.5,455.25,458.0,463.5,781,-1
2021-02-12,464.5,459.0,463.5,460.25,648,-1
2021-02-16,467.5,459.5,464.0,467.5,405,-1
2021-02-17,471.25,461.5,466.5,471.25,668,-1
2021-02-18,471.75,468.5,470.0,471.25,638,-1
2021-02-19,477.25,470.5,470.5,472.0,616,-1
2021-02-22,481.0,474.0,474.0,481.0,725,-1
2021-02-23,484.75,479.5,480.5,480.5,1280,-1
2021-02-24,487.75,479.75,480.0,487.5,716,-1
2021-02-25,489.0,481.5,486.5,485.75,2071,-1
2021-02-26,484.5,478.0,483.5,484.0,1714,-1
2021-03-01,486.75,481.5,486.75,482.25,788,-1
2021-03-02,489.75,477.5,480.75,488.5,1592,-1
2021-03-03,487.5,484.25,487.25,486.75,1119,-1
2021-03-04,491.25,484.0,488.0,488.75,924,-1
2021-03-05,494.5,487.5,487.5,493.5,1246,-1
2021-03-08,497.0,488.25,495.0,494.25,1319,-1
2021-03-09,497.5,488.0,492.5,497.75,1302,-1
2021-03-10,497.0,489.75,497.0,493.25,880,-1
2021-03-11,496.25,491.5,493.25,496.0,698,-1
2021-03-12,495.5,489.0,495.25,491.5,768,-1
2021-03-15,492.0,486.0,489.0,491.75,1565,-1
2021-03-16,491.0,485.0,490.75,491.25,1294,-1
2021-03-17,490.25,486.25,489.5,489.0,1079,-1
2021-03-18,489.0,481.75,488.0,482.5,2016,-1
2021-03-19,485.25,480.25,481.75,485.25,1214,-1
2021-03-22,485.0,479.75,484.5,482.75,699,-1
2021-03-23,486.5,480.0,483.0,484.5,801,-1
2021-03-24,484.5,480.75,483.5,483.25,448,-1
2021-03-25,482.0,479.0,481.5,480.25,625,-1
2021-03-26,481.75,477.75,480.0,481.5,468,-1
2021-03-29,481.5,475.25,481.5,476.0,1360,-1
2021-03-30,475.75,464.25,475.25,467.5,1896,-1
2021-03-31,492.5,465.0,467.5,492.5,12690,-1
